username,nama pengguna
lemes,lemas
usirchina,usir cina
usirdubesmyanmar,usir kedutaan besar myanmar
usher,nama pengguna
ust,ustaz
lemu,besar
ustadz,ustaz
aaaah,ah
lengkapin,lengkapi
lepasin,melepas
aaghr,ah
lepastu,setelah itu
letjen,letnan jenderal
lesbi,lesbian
aah,ah
lewatin,melewati
utk,untuk
lg,lagi
lgbt,lesbian gay bisexual transgender
uu,undang undang
lgi,lagi
uud,undang undang dasar
lgsg,langsung
uv,ultra violet
lh,lah
abis,habis
lha,lah
abisin,habiskan
lho,loh
lhoh,loh
abissss,habis
liat,lihat
abt,about
liatin,lihat
abut,abud
liatny,lihatnya
acc,akun
victim,korban
liberalkocak,liberal kocak
lieur,pusing
ad,ada
vilage,desa
lihut,luhut
villager,orang desa
adain,adakan
lil,little
lingserwengi,lingsir wengi
linimasa,lini masa
ade,adik
lipia,lembaga ilmu pengetahuan islam dan arab
adek,adik
liyo,lain
vs,lawan
w,aku
waaah,wah
adl,adalah
adlah,adalah
adlh,adalah
waakaakaak,wkwk
wadaauuuwwww,wow
wadaw,waduh
aduhhh,aduh
waduhh,waduh
lngsung,langsung
lnjt,lanjut
wae,saja
wag,kekasih
adzan,azan
lo,kamu
wagakbener,wah tidak benar
ae,saja
adzim,azim
wagub,wakil gubernur
loe,kamu
loee,kamu
wahabrer,wah tidak benar
af,as fuck
wahahahaha,haha
wahbrot,wah saudara
loh,lah
wahhabi,wahabi
lohhh,loh
lokalhangat,lokal hangat
waini,wah ini
wait,tunggu
waiters,pelayan
lol,wkwk
wajahx,wajahnya
loloas,lolos
wajarla,wajarlah
aggaran,anggaran
lom,belum
waji,wajik
wakakak,wkwk
wakakaka,wkwk
agm,agama
ahaha,haha
ahahah,haha
ahahaha,haha
losssss,loss
wakwawww,wkwk
wakwaww,wkwk
ahahahaha,haha
ahahahahhaha,haha
lp,lupa
ahai,ah
ahelah,alah
walisongo,wali songo
aheruntukindonesia,aher untuk indonesia
walkout,pergi
lsm,lembaga swadaya masyarakat
ahh,ah
walopun,walaupun
lu,kamu
ahhh,ah
ahhahahha,haha
ahir,akhir
wanna,ingin
ahlikul,akhlak
ahlussunah,ahlusunah
wapres,wakil presiden
wapresnye,wakil presidennya
ahoak,ahok
ahoax,ahok
luculucuan,lucu lucuan
wareg,kenyang
ahog,ahok
luh,kamu
warnet,warung internet
ahokdjarot,ahok djarot
wasite,wasitnya
waspadai,mewaspadai
ahokpecahbelahbangsa,ahok pecah belah bangsa
waspadapki,waspada partai komunis indonesia
watching,menonton
ahox,ahok
ahoq,ahok
ahy,agus harimurti yudhoyono
ahsudalah,ah sudahlah
aing,aku
wave,gelombang
lwn,lawan
lwt,lewat
aj,saja
aja,saja
m,sama
wc,toilet
ma,sama
ajaa,saja
ajah,saja
weekend,akhir pekan
ajakalah,ajaklah
wehhh,wah
ajalah,sajalah
ajarin,ajarkan
aje,saja
wekawekaweka,wkwk
maapin,maafkan
mabes,markas besar
mabok,mabuk
macak,masak
ajj,saja
wes,sudah
macem,macam
wew,wow
ak,aku
madesu,masa depan suram
wgl,we get love
maen,main
maenan,mainan
what,apa
maennya,mainnya
akeh,banyak
akherat,akhirat
akhi,saudara
while,ketika
mahasiswabergerak,mahasiswa bergerak
mahatir,mahathir
whuahahahah,haha
mahluk,makhluk
wib,waktu indonesia bagian barat
mahmudah,ibu muda
akn,akan
maho,manusia homo
mahu,mau
maidah,almaidah
mainin,mainkan
mainya,mainnya
wilujeng,selamat
wilyah,wilayah
majikanya,majikannya
majority,mayoritas
majulusini,maju kamu sini
majuo,maju
akui,mengakui
mak,ibu
witch,penyihir
with,dengan
akusisi,akuisisi
wjar,wajar
makany,makanya
wk,wkwk
makasar,makassar
wkkk,wkwk
makin,semakin
wkkwkw,wkwk
makmak,ibu ibu
wkkww,wkwk
mako,markas komando
maksa,memaksa
wkt,waktu
wktu,waktu
alasanbikinaksi,alasan buat aksi
wkwkkk,wkwk
wkwkkw,wkwk
alfaatihah,al fatihah
wkwkwk,wkwk
malay,malaysia
alhamdulilah,alhamdulillah
alhamdulillaah,alhamdulillah
wkwkwkwk,wkwk
alhamdullilah,alhamdulillah
malaysiaanjing,malaysia anjing
wkwkwkwkw,wkwk
malaysiaitubabi,malaysia itu babi
wkwkwkwkwkw,wkwk
malaysiamiskinbudaya,malaysia miskin budaya
allaah,allah
malaysucks,malaysia suck
malem,malam
wkwkwkwwkwk,wkwk
males,malas
allahuakbar,allahu akbar
maletrip,male trip
malh,malah
malingsia,malaysia
malingsial,malaysia
allooowwww,halo
allohu,allahu
alloh,allah
alm,almarhum
mall,mal
wna,warga negara asing
maluin,memalukan
wni,warga negara indonesia
wo,oi
alohmubarbar,allahmu barbar
alqaeda,al qaeda
alqt,alat
woey,oi
alqur,alquran
mamak,ibu
woii,oi
woiii,woi
woles,santai
wong,orang
ama,sama
woo,uhuy
mambiadabkan,membiadabkan
woooooii,woi
woooui,woi
ambik,ambil
ambisional,berambisi
wooyyy,woi
ambivient,ambient
ambleg,amblek
manatuh,mana itu
mane,mana
maneh,kamu
manfaatin,manfaatkan
manggil,memanggil
wournos,wuornos
manggilnya,memanggilnya
wow,wah
woy,oi
woyy,oi
mangondow,mongondow
woyyy,oi
maning,lagi
ws,sudah
wtf,what the fuck
ampe,sampai
mantaff,mantap
mantapks,mantap
y,iya
yaa,ya
amrik,amerika
yaaaa,ya
yaaaap,ya
ana,aku
manufikun,munafik
yaaelah,yaelah
anakk,anak
anakku,anakku
mao,mau
analisa,analisis
analisaku,analisisku
ancen,memang
ancok,jancuk
ancoor,hancur
ancur,hancur
marahin,marahi
anda,kamu
andaa,kamu
yaelahhh,yaelah
ane,aku
yah,ya
masadepaan,masa depan
yahhhh,yah
anehdidunia,aneh di dunia
masalalu,masa lalu
masalalunya,masa lalunya
yahudilik,yahudi
yahut,hebat
yaiyalah,ya iyalah
yak,ya
masi,masih
anggotadpr,anggota dewan perwakilan rakyat
mash,masih
angkrem,mengerami
yakini,yaitu
masio,masih
yall,yel
anj,anjing
yanag,yang
anjeng,anjing
anjer,anjir
anjg,anjing
masy,masyarakat
matalu,matamu
matanajwadebatjakarta,mata najwa debat jakarta
