aaat,saat
aampai,sampai
abded,perbaharui
abdet,perbaharui
abis,habis
acc,diterima
acces,akses
access,akses
account,akun
accountnya,akun
acount,akun
acsess,akses
action,aksi
activation,aktivasi
ad,ada
adaa,ada
adaaa,ada
admi,admin
admind,admin
adminny,admin
adminnya,admin
adminya,admin
aduannya,aduan
afk,diam
agent,agen
agk,agak
ahhelah,ah
ainyal,sinyal
airpun,air
aj,aja
ajaa,aja
ajah,aja
ajalah,aja
aje,aja
ajg,anjing
ajh,aja
ajj,aja
akhiranya,akhirnya
akin,akun
aksesibilitasnya,aksesibilitas
aktifasi,aktivasi
aktifitasnya,aktifitas
aktifnya,aktif
aktovitas,aktivitas
akunku,akun
akunnya,akun
akuu,aku
akuuu,aku
al,semua
alasanya,alasan
alesan,alasan
alesannya,alesan
alesanya,alasan
alikasi,aplikasi
all,semua
already,sudah
alsan,alasan
ambul,ambil
ampe,sampai
ampir,hampir
anaknya,anak
ancur,hancur
and,dan
andelan,andalan
anehh,aneh
anehhh,aneh
anehhhh,aneh
anehnya,aneh
angkt,angkat
angus,hangus
anguss,hangus
anjenkkkk,anjing
anjenkkkkkkkkkkkkkk,anjing
anjiiiii,anjing
anker,anak kereta
antre,antri
antrean,antrian
antriannya,antrian
anyep,hilang
aolikasi,aplikasi
ap,apa
apaansih,apa
apah,apa
apain,apa
apalag,apalagi
apalgi,apalagi
apan,apa
apanya,apa
apapa,apa
apdet,update
apgred,meningkatkan
apikasinya,aplikasi
apk,aplikasi
apknya,aplikasi
apknyaa,aplikasi
apl,aplikasi
apli,aplikasi
apliaksi,aplikasi
aplikaai,aplikasi
aplikasai,aplikasi
aplikasih,aplikasi
aplikasimu,aplikasi
aplikasinya,aplikasi
aplikasinyaaa,aplikasi
apliksi,aplikasi
aplk,aplikasi
aplkasi,aplikasi
aplnya,aplikasi
app,aplikasi
appk,aplikasi
appl,aplikasi
applaus,tepuk tangan
applikasi,aplikasi
applikasinya,aplikasi
appnya,aplikasi
approve,menyetujui
approved,menyetujui
apps,aplikasi
appsnya,aplikasi
aps,aplikasi
apss,aplikasi
aq,aku
aqun,akun
arahnya,arah
ari,hari
asdp,angkutan sungai danau dan penyeberangan
asliii,asli
assalamualaikum,salam
assallaammualaikum,salam
assisten,asisten
asukkk,anjing
at,atau
ataudi,atau
ati,hati
ato,atau
atow,atau
audah,sudah
autoreplay,balas otomatis
ayolahhh,ayolah
babbi,babi
bacaanya,bacaannya
bacek,bacak
bad,buruk
badly,buruk
bae,aja
bagaiman,bagaimana
bagaimna,bagaimana
baget,banget
bagis,bagus
baguss,bagus
bagusss,bagus
bagusssss,bagus
bahwakan,bahwa
baiknya,baik
balasannya,balasan
balasanya,balasan
balikinya,balikin
bangat,banget
bangeet,banget
bangeett,banget
bangett,banget
bangettt,banget
bangetttt,banget
bangking,perbankan
bangt,banget
bangtt,banget
banguss,bagus
banke,sialan
banking,perbankan
bantuannya,bantuan
bantuanya,bantuan
banyaakk,banyak
banyakkk,banyak
bapuk,buruk
barunya,baru
basic,biasa
bawha,bawah
bbi,babi
bbrapa,beberapa
bca,bank central asia
bebeapa,beberapa
belibet,ribet
berakkk,berak
beratt,berat
berbulan,bulan
bereda,berada
berenti,berhenti
beress,beres
beresss,beres
bergunaa,berguna
berjlan,berjalan
berjm,berjam
bermamfaat,bermanfaat
berminggu,minggu
berpungsi,berfungsi
bertransaksi,transaksi
berulangkali,berulang kali
best,terbaik
bestt,terbaik
bgd,banget
bgini,begini
bgk,enggak
bgmn,bagaimana
bgt,banget
bgtt,banget
bgttt,banget
bgus,bagus
bguss,bagus
biasanaya,biasanya
biayanya,biaya
biayaya,biaya
biazahh,biasa
bilangnya,bilang
bilanya,bilang
bill,tagihan
bintangnya,bintang
bisaa,bisa
bisaaa,bisa
bisaaaaaa,bisa
bisanya,bisa
bitang,bintang
biya,biaya
biyar,biar
biyaya,biaya
bkin,bikin
blanja,belanja
blank,kosong
blas,balas
blm,belum
bln,bulan
blom,belum
blon,belum
bls,balas
blum,belum
bm,belum
bner,benar
bnget,banget
bngt,banget
bni,bank negara indonesia
bnr,benar
bntuan,bantuan
bnyak,banyak
bnyk,banyak
bobrokkk,bobrok
bodattt,monyet
boot,robot
bosokkkkk,busuk
bot,robot
brapa,berapa
brhasil,berhasil
bri,bank republik indonesia
brita,berita
brkenan,berkenan
brp,berapa
brtambah,bertambah
bru,baru
bs,bisa
bsa,bisa
bsi,bank syariah indonesia
btn,bank tabungan negara
btransaksi,bertransaksi
btul,betul
buangeett,banget
buangett,banget
bug,kesalahan
bugs,kesalahan
bukannya,bukan
bukanya,buka
bulannya,bulan
bunganya,bunga
bunus,bonus
buseeettt,buset
busukkkkkkk,busuk
bwt,buat
by,dengan
byk,banyak
cal,panggilan
call,panggilan
callcenter,panggilan pusat
callnya,panggilan
caranya,cara
cardless,tanpa kartu
care,peduli
carinya,cari
cash,tunai
cashback,uang kembali
cashbacknya,uang kembali
cashbacknyaa,uang kembali
cashles,tunai
cashless,nontunai
castemer,pelanggan
castomer,pelanggan
cba,coba
cc,pusat panggilan
center,pusat
centernya,pusat
centre,pusat
cepatnyaa,cepatnya
cepet,cepat
charge,biaya
chat,obrolan
chatnya,obrolan
chatt,obrolan
chatting,ngobrol
cht,obrolan
ciba,coba
cicilannya,cicilan
cih,sih
click,klik
cll,panggilan
close,tutup
club,klub
cm,Cuma
cma,Cuma
cnter,pusat
cntr,pusat
co,pemeriksaan
cobak,coba
cokkkk,teman
commerce,perdagangan
commeter,komuter
commuterline,krl
company,perusahaan
complain,komplain
connection,koneksi
copas,salinan
costemer,pelanggan
costoumer,pelanggan
costumers,pelanggan
court,lapangan
coy,kawan
coz,karena
cp,kontak pribadi
crash,rusak
cri,cari
cs,pelayanan pelanggan
csnya,pelayanan pelanggan
cso,customer service officer
cuap,cakap
cus,pelanggan
cust,pelanggan
custamer,pelanggan
custemer,pelanggan
customernya,pelanggan
customers,pelanggan
custumer,pelanggan
cutomers,pelanggan
cz,karena
d,di
da,ada
daftarnya,daftar
dahh,dah
danaku,dana
dananya,dana
dancuk,sial
danterkunci,dan terkunci
dapa,dapat
dapay,dapat
dapt,dapat
dbls,dibalas
debest,terbaik
december,desember
deeh,deh
dehh,deh
dehhh,deh
delated,hapus
demail,email
dengn,dengan
depannya,depan
des,desember
desainnya,desain
desembar,desember
deskripsinya,deskripsi
developer,pengembang
development,perkembangan
device,perangkat
dg,dengan
dgn,dengan
dh,dah
dhubungkan,hubungkan
