CustomerService,FiturAplikasi,UserExperience,Verifikasi,content
0,0,-1,0,"Biaya dan fitur standard kaya apk lain, promo nya dikit.."
0,1,1,0,aplikasi yg mudah untuk diakses dimana aja dan kapan aja. jadi bisa belanja dan transfer kemana aja dengan cepat dan praktis
-1,-1,-1,0,"suruh ganti pin tapi tulisan gagal memuat, uda pakai wifi,hostpot tetap gak bisa. chat servis di biar kan aja, makannya peminat sikit download orang gak jelas apknya"
0,0,-1,-1,"Dari semua aplikasi, ini yang paling lama cek verifikasi ktp. Padahal udah sangat butuh. Tolong di percepat verifnyað"
-1,-1,-1,0,"Aplikasi payah bukannya membantu malah bikin susah saldo kepotong tp belum terbayarkan ke nomer tujuan,,hubungi cs malah ngabisin pulsa,live chat gak ada respon email juga sama,,, gak tanggung jawab"
-1,-1,-1,0,"Busuk, akun nggak bisa masuk, dihubungi susah, nggak ada kejelasan sama sekali dari linkaja, pokoknya habis akun udah bisa dibuka mending migrasi ke app lain, kapok pake link aja"
-1,-1,-1,0,"Aplikasi tidak berguna,, Tidak bisa di complain.. Uang nyangkut lebih dari 300k,, Transaksi pulsa saldo terpotong, status pending sampai sekarang, Live chatnya di balas BOT,, Payah,, saran aja jangan Download aplikasi ini."
0,-1,-1,-1,Uang yg udah masuk aplikasi ini ga bisa di ambil lagi. Harus verifikasi dulu dan di setujui nya lama banget kecewa.
-1,0,-1,0,Apakah link aja ada gangguan sudah saya send email no respon saldo sudah berkurang tapi status masih proses sudah hampir 1 jam...
0,1,1,0,"aplikasinya sangat membantu saya dalam pembelian ataupun pembayaran, top up bisa dilakukan dimana saja"
0,1,1,0,"Aplikasi nya membantu banget, fitur fitur nya sangat mempermudah."
0,1,1,0,"Aplikasi cepat tanggap, semua kebutuhan ada disini, banyak keuntungan pake linkaja"
0,0,-1,0,"tidak bisa masuk akun nih. parah bener. ada masalah apa sih? ewallet yg lain aman2 aja. gra2 ewallet linkaja gangguan kan dpt tlpn ngaku admin linkaja, ehh akun ewallet aku yg lain di bajak dan saldo di dlm nya raib. sampe di akun aku ada yg di bekukan. mmg meresahkan pihak2 penipu nih. tlg y buat loe penipu. aku harap hdup mu baik2 aja stlh pakai duit kami."
0,1,1,0,"Aplikasi yang mantabb, tampilannya mudah dan simpel, pokoknya keren dahh"
0,0,-1,-1,Minta tolong ini mau transfer uang tapi disuruh upgrade pake foto ktp dan foto wajah foto wajahnya udah pas malah prosesnya lama bgt nggak jadi jadi lagi.. Mohon bantuannya
0,-1,-1,0,Minta tolong di update untuk pengiriman ke bank lain misal ke BCA dll itu tdk ada nama rekening yg muncul jadi agak takut untuk transfer mohon di perbaiki dan tindakan lanjuti secepatnya
0,1,1,0,Semenjak punya aplikasi link gampang transaksi beli pulsa.. jangan ada kesulitan diantara kita ya min
0,1,1,0,"Rekomended banget buat jaman sekarang yang serba cashless, semua transaksi dalam satu aplikasi sangat menghemat waktu dan praktis. Dari bayar token listrik, pulsa, internet, bayar saat isi bensin, sampai pajak pun bisa dll. Aksesibilitasnya juga mudah, ga ribet, user friendly tampilannya, banyak keuntungan dari voucher, fitur yg lengkap dll."
-1,0,-1,0,"Saya sangat kecewa dengan pelayanan CS linkaja, susah dihubungi dan menghabiskan pulsa saja, via email tidak ada respon begitu juga live chat di web linkaja."
0,1,1,0,aplikasi yang bener bener sangat membantu dalam transaksi apapun dengan penggunaan yang mudah tidak ribet dan mudah digunakan kapanpun dimanapun
-1,0,-1,0,"ini respon costemer servisnya gak diangkat""kecewa saya.. saya penguna linkaja dari pertama lo.. dulu gak seperti ini respo cepat bila ada kendala sekarang gak ada respon sama sekali email maupun telfon. tolong ditindak lanjutin"
0,0,-1,0,Mohon di tingkatkan lagi. Untuk transfer ke BCA kenapa nomor rekeningnya gak ada atas namanya. Jadi kalo salah rekening gak ketauan namanya.
0,-1,-1,0,"Uang sering nyangkut, beberapa hari baru terkirim kalo buat transaksi belanja sangat bermasalah"
0,1,1,0,Aplikasi dompet digital yg nyaman digunakan. Bisa bayar tagihan rutin bulanan dan fiturnya sangat komplete. Rekomended deh ð
1,1,1,0,"Aplikasi yg bagus... memudahkan....sangat, lebih di tingkatkan lagi promo. serta merchant merchant lebih banyak lg.... Usul... Aplikasi linkaja bisa buat bayar semua jenis pembayaran yang ada. Transaksi lebih mudah. Tdk usah repot repot. Selama ini bertransaksi menggunakan apk link aja tdk ada kendala. Baik bayar pendidikan, tranfer bank, toko online, data. Pernah satu kali mengalami gagal/kendala tranfers ke bank BCA complain ke layanan dan uang kembali 1 hari setelah complain."
0,0,-1,-1,"Sudah cape rasanya,leher sampai pegal,mau upgrade ke premium sangat susah sekali."
-1,-1,-1,0,"Aplikasi busuk, kirim uang pending. Mau login akun ngak bisa komplain hanya balasan otomatis respon lama"
-1,0,-1,0,"kecewa aplikasi ini, keluhan tidak direspon, sdh di telp cs dan chat, hilang saldo 200rb. sebaiknya kosongkan saldo anda sebelum kecewa"
-1,-1,-1,0,"Minta tolong dong untuk staff link aja mohon di percepat proses gmail saya, saya melakukan tarik saldo namun uang tidak keluar di atm, tapi saldo sudah berkurang di apk link aja,mohon proses kembalian uang saya,saya melakukan penarikan saldo 2x di tgl 18-januari-2023 itu semua tidak keluar uang y dri atm,saya sudah melakukan live cht dan tlpn cs namun tidak ada kejelasan berapa hari uang di kembalikan."
0,-1,-1,0,"Appk sangat buruk nih,sy isi e-money mandiri udah 3 kali ga masuk saldo ny,trus saldo link sy ny ke ambil,gmna nih appk ga kya appk dana bisa kembalk lg saldo ny?tolong tingkatkn lg kualitas ny,jng morotin trus lengguna appk"
-1,0,-1,-1,gimana ini..mau di upgrate ke premium tp proses trus suruh nunggu 1x24 jaam.. padahal udah nunggu lebih dri waktunya tetep di proses trus.. tolong dong di prbaikin lagi.. mau buka bantuan juga gabisa padahal kuota full..trpksa ksih bintang 2. Tar kalo udh bisa di upgrate ke premium aku ganti bintang 5
-1,-1,-1,0,Knp akun sy tdk bs d akses. Cs ny d tlp dr pagi sampe tengah malam susah banget gk bs terhubung. di email jg gk ada respon..pd hal akun sy ada saldo ny kl gk ada saldo sy reinstal aj nih aplikasi.. Komplain ke infolinkaja.id gk ada solusi nya... MENGECEWAKAN SEKALI..... APLIKASI SAMPAH...
0,1,1,0,"Aplikasi bagus ga lemot. fitur nya banyak bisa buat tf, top up, pulsa, listril dll dan mudah digunakan juga"
0,1,1,0,"Aplikasi bagus mudah digunakan, bisa tarik uang, dan donasi juga"
-1,1,-1,0,"Saya ngasi emoney 200rb dari link aja ,saldo udah ke ambil, tapi di cek di kartu emoney nya saldo gak masuk. Tapi bacaan nya transaksi sukses, gak ada pending. Saya udah berkali2 hubungi customer Service nya susah bgt gak ada jawaba"
0,-1,-1,0,"Udah 2 hari saya gak bisa melakukan transaksi seperti kirim uang. Tolong dong di perbaiki lagi layanannya, saya sebagai pengguna linkaja sangat kecewa."
1,1,1,0,"Udah pake apk ini dari lama sih, dan yg paling suka dari apk ini tuh ada 2 macem. 1. Gampang bgt caranya kalo mau tarik tunai di atm 2. Ketika lupa password, call center jg sangat sigap untuk membantu"
0,1,1,0,Aplikasinya Mudah Di Gunakan Dan Sangat Membantu Wajib Di Instal Di Handphone Kalian !!! :D
0,-1,-1,0,"Linkaja tidak bisa beroperasi setelah pembaharuan, bagaimana solusinya? Saya sudah re-install namun tetap saja tidak bisa di buka"
-1,0,-1,0,"ini gimana ya saya sudah email 5 hari belum ada balasan, saya mau login tapi nomer hp saya yg dulu sudah tidak aktif dan saya tidak bisa dapat kode OTP nya"
0,1,1,0,"Aplikasi yang sangat membantu aku sebagai anak kos yg sekarang di zamannya cashless, gaperlu repot bawa uang tunai semuanya bisa dibayar di LinkAja. Recomended sekalii ð"
0,-1,-1,0,"Ini aplikasi tidak dapat melakukan transaksi, sudah hampir 2 hari ini, tolong dong di tingkatkan pelayanan nya"
0,-1,-1,0,"Tarik tunai uangnya gak keluar Malah transaksi transfer. Gimana bisa jadi aplikasi yg bagus, kalo transaksi gini Solusinya jg ribet banget Saldo udah kepotong,tp uang gak keluar, gimana ni? Aplikasi kog jadi terburuk kayak gini? Uang saya 500rb jadi hilang gara-gara pakai aplikasi ini saat tarik tunai di ATM"
0,0,-1,-1,"Proses upgrade sudah lebih dari 24 jam belum beres, mengecewakan"
