content,Preprocess,CustomerService_prediksi,FiturAplikasi_prediksi,UserExperience_prediksi,Verifikasi_prediksi
"Saya upgrade full service kok sudah 5 hari belum di verifikasi ya? Padahal katanya 1x24 jam sudah disetujui. Jadinya saua gabisa transaksi. Udah ngubungin call center, live chat, email bantuan linkaja juga gak ada jawaban tuh. Tolong dong solusinya, di akun saya sudah terisi sejumlah nominal. Masa gabisa di apa2in. Di tarik gabisa, di buat transaksi gabisa. Tolong dong perbaiki", tingkat penuh servis      verifikasi     jam  tuju   gabisa transaksi udah hubung panggil pusat langsung obrol email bantu linkaja  gak    tolong  solusi  akun   isi  nominal  gabisa   in  tarik gabisa   transaksi gabisa tolong  baik,-1,-1,-1,-1
Linkaja mempermudah saya melakukan transaksi online. Bikin sut sat set set...,linkaja mudah   transaksi daring bikin sut sat set set ,0,1,1,0
"Sampah pelayanan nya, masa ini udh hampir 1 bulan upgrade akun belum jadi jadi. Nanya di live chat juga cuma template doang, ngirim email kaga ada balesan sama sekali. Pada buta apa ya staff nya, orang butuh cepet. Sekalian aja satu tahun di lama lamain. maaf saya bicara kasar, SAMPAH STAF PELAYANANNYA.",sampah layan    udah   tingkat akun    nanya  langsung obrol   templat  ngirim email kaga  balesan    buta   staf  orang butuh cepat  aja    lama lamain maaf  bicara kasar sampah staf layan ,-1,0,-1,-1
Asukkk tiba2 tidak bisa transaksi tidak ada notifikasi bawha ada perbaikan lama2 mls mnggunakan aplikasi ini sudah 6 tahun tidak ada respon kontul lah,anjing  tidak  transaksi tidak  notifikasi   baik lama malas  aplikasi    tidak  respon kontul ,-1,-1,-1,0
"Ini benar2 gilaa..hp saya gak sengaja kena format,jadi download lagi pas login GK bisa sama sekali minta kode verifikasi sudah saya kirim samai 5x3kali dengan jeda 3kali 5mnt. 15kali saya minta kodenya tak 1xpun masuk Padahal saya pengguna lama,andai saja hanya pin yg dibutuhkan maka saya TDK sepusing iniiið¡ Tolong dijawab ini.bikin kecewa saja Saya udah saya email balasannya mengatakan pesan TDK utk dibalas", benar gilaa hp  gak sengaja kena format  unduh  pas masuk gak     kode verifikasi   kirim   kali  jeda kali mnt kali   kode  xpun masuk   guna lama andai   pin  butuh   tidak pusing iniii tolong   bikin kecewa   udah  email balas  pesan tidak  balas,-1,-1,-1,0
Pake aplikasi linkaja beneran mempermudah segala pembayaran digital.,pakai aplikasi linkaja beneran mudah  bayar digital ,0,1,1,0
Aplikasinya kurang bagus mau upgrade full servis ngulang mulu pas verifikasi wajah parah banget saya coba udh 30 menit bolak balik masih aja gk bisa beda ama ewallet yang lain sampah,aplikasi kurang bagus  tingkat penuh servis ngulang mulu pas verifikasi wajah parah   coba udah menit bolak   aja gak  beda ama dompet digital   sampah,0,0,-1,-1
"Mau nanya fungsinya bantuan di aplikasi apa ya......... #apaapabisa ketika ada kendala, kontak center ga bisa di hubungi email ga ada jawaban, live chat nya ga berguna.", nanya fungsi bantu  aplikasi   apaapabisa   kendala kontak pusat ga   hubung email ga   langsung obrol  ga guna ,-1,-1,-1,0
"Tarik saldo gak bisa, transfer sesama linkaja gak bisa, transfer bank juga gak bisa.. LamaÂ² ini app ngawur banget, cuma bisa top up. Full servis sudah.. Benerin lah. Berkali kali sudah dipake saranya lewat linkaja masih gak bisa.",tarik saldo gak  transfer  linkaja gak  transfer bank  gak  lama  aplikasi ngawur    mantap  penuh servis  benerin  kali kali  dipake saran  linkaja  gak  ,0,-1,-1,0
"sangat rekomended segala transaksi bisa di satu aplikasi, no ribet pokoknya. fitur nya juga lengkap dan praktis", rekomendasi  transaksi    aplikasi nomor ribet pokok fitur   lengkap  praktis,0,1,1,0
Bener bener aplikasi yg sangat membantu dan bermanfaat banget mempermudah kita buat bertransaksi apa aja keren sih aplikasi iniðð.,bener bener aplikasi   bantu  manfaat  mudah   transaksi  aja keren  aplikasi  ,0,1,1,0
Mempermudah untuk pembayaran online dan juga daftarnya pun sangat mudah.,mudah  bayar daring   daftar   mudah ,0,1,1,0
"tidak ada kejelasan sama sekali soal pengisian pulsa yg pending sudah lebih dari 24 jam, di live chat tidak terhubung di email balasan di suruh hubungi le email ini tapi balasannya itu terus, tolong dong pihak linkaja... kecewa kalo begini jadinya, masa pengisian pulsa aja sudah lebih dari 24 jam tidak ada kejelasan, saldo juga tidak kembali. sulit memang",tidak  jelas    isi pulsa  tunda    jam  langsung obrol tidak hubung  email balas  suruh hubung  email   balas   tolong   linkaja kecewa     isi pulsa aja    jam tidak  jelas saldo  tidak  sulit ,-1,-1,-1,0
Mau reset password karena akun terblokir gak bisa. Hubungi cs via telp disuruh via email. Hub email yg jawab robot. Disuruh chat ke expert web. Udah ke web tetep aja gak dijawab. Mengecewakan, reset password  akun blokir gak  hubung layan langgan via telepon suruh via email hubung email   robot suruh obrol  ahli web udah  web  aja gak  kecewa,-1,0,-1,0
Aplikasi tidak yang gak nyaman Beli token gak da riwayat pembeliannya dan saldo di potong apliaksi buruk sekali,aplikasi tidak  gak nyaman beli token gak  riwayat beli  saldo  potong aplikasi buruk ,0,-1,-1,0
